Initiative_ID,Change_Type,Outcome,ROI,Time_Taken,KPI_ID,KPI_Name,KPI_Value,Benchmark_Value,Event_ID,Success_Rate,Implementation_Time,Feedback_ID,Employee_Satisfaction,Engagement_Level
9,Process Change,Partially Successful,1.9168508484141453,21,704,Change Adoption Rate,0.5136250096365869,NULL,859,0.6395605600653975,11,NULL,NULL,NULL
9,Process Change,Partially Successful,1.9168508484141453,21,1575,Cost Efficiency,23.690185468075253,81.39087859453352,859,0.6395605600653975,11,NULL,NULL,NULL
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,81.94321538411647,638,0.5445132606102814,8,1808,3,0.18922412605453698
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,81.94321538411647,789,0.757743459236857,4,1808,3,0.18922412605453698
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,81.94321538411647,1071,0.9681936300626123,7,1808,3,0.18922412605453698
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,75.30786004296317,638,0.5445132606102814,8,1808,3,0.18922412605453698
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,75.30786004296317,789,0.757743459236857,4,1808,3,0.18922412605453698
11,Process Change,Unsuccessful,-0.3430521570682389,18,692,Change Adoption Rate,45.668959116440945,75.30786004296317,1071,0.9681936300626123,7,1808,3,0.18922412605453698
12,Process Change,Unsuccessful,1.9943355560670435,21,1652,Change Adoption Rate,86.72502031321135,69.32154052221672,1118,0.5951459567652051,10,1048,1,0.22400340286774112
12,Process Change,Unsuccessful,1.9943355560670435,21,425,Change Adoption Rate,88.91290450304182,73.68825496433446,1118,0.5951459567652051,10,1048,1,0.22400340286774112
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,59.747015505712376,1033,0.7795167933070857,9,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,59.747015505712376,1184,0.7947003801675041,5,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,59.747015505712376,1449,0.6874727194623284,3,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,61.14549287115801,1033,0.7795167933070857,9,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,61.14549287115801,1184,0.7947003801675041,5,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,61.14549287115801,1449,0.6874727194623284,3,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,80.68868976082035,1033,0.7795167933070857,9,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,80.68868976082035,1184,0.7947003801675041,5,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1255,Change Adoption Rate,2.5685572599654427,80.68868976082035,1449,0.6874727194623284,3,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1939,Change Adoption Rate,38.77115560113867,66.30622509523889,1033,0.7795167933070857,9,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1939,Change Adoption Rate,38.77115560113867,66.30622509523889,1184,0.7947003801675041,5,NULL,NULL,NULL
15,Cultural Change,Successful,0.8123959519577713,5,1939,Change Adoption Rate,38.77115560113867,66.30622509523889,1449,0.6874727194623284,3,NULL,NULL,NULL
17,Technology Change,Partially Successful,0.04200177404220673,5,39,Cost Efficiency,1.2561328309679598,83.03587092479873,817,0.7626987880252227,3,1955,1,0.8965331452837021
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,74.45089089596107,50,0.839841923802465,4,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,74.45089089596107,866,0.842575187350189,3,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,74.45089089596107,1750,0.7646994229992645,7,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,58.46224121210518,50,0.839841923802465,4,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,58.46224121210518,866,0.842575187350189,3,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,927,Employee Engagement,73.53247746934176,58.46224121210518,1750,0.7646994229992645,7,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,1799,Change Adoption Rate,25.60753719842618,NULL,50,0.839841923802465,4,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,1799,Change Adoption Rate,25.60753719842618,NULL,866,0.842575187350189,3,NULL,NULL,NULL
19,Cultural Change,Partially Successful,-0.06995013253326143,21,1799,Change Adoption Rate,25.60753719842618,NULL,1750,0.7646994229992645,7,NULL,NULL,NULL
20,Cultural Change,Successful,0.6046527553078855,15,1414,Employee Engagement,62.68019695848697,63.7817538552129,NULL,NULL,NULL,1966,5,0.6717275324848176
20,Cultural Change,Successful,0.6046527553078855,15,1414,Employee Engagement,62.68019695848697,63.65673711571901,NULL,NULL,NULL,1966,5,0.6717275324848176
21,Process Change,Unsuccessful,0.3506588872278692,6,193,Employee Engagement,80.6247246073477,NULL,NULL,NULL,NULL,476,4,0.08774355725076832
21,Process Change,Unsuccessful,0.3506588872278692,6,193,Employee Engagement,80.6247246073477,NULL,NULL,NULL,NULL,1064,1,0.49633209032680636
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,59.317904677653374,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,59.317904677653374,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,96.3423149809947,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,96.3423149809947,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,95.28613002789969,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,384,Employee Engagement,65.49534868525122,95.28613002789969,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,12,Cost Efficiency,35.594259801701135,85.20611548476148,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,12,Cost Efficiency,35.594259801701135,85.20611548476148,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,498,Change Adoption Rate,37.05357164077652,90.2645339133912,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,498,Change Adoption Rate,37.05357164077652,90.2645339133912,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,498,Change Adoption Rate,37.05357164077652,99.78654520605767,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,498,Change Adoption Rate,37.05357164077652,99.78654520605767,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,1751,Cost Efficiency,66.03680114165678,NULL,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,1751,Cost Efficiency,66.03680114165678,NULL,1244,0.8926346240002576,10,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,1392,Employee Engagement,81.0076221813544,NULL,562,0.6475198127753904,6,510,3,0.30276685364901956
25,Technology Change,Successful,1.0123808131626604,22,1392,Employee Engagement,81.0076221813544,NULL,1244,0.8926346240002576,10,510,3,0.30276685364901956
28,Cultural Change,Successful,0.03978359518417007,16,706,Cost Efficiency,5.19631070463128,88.5270571341602,459,0.591702513389735,9,NULL,NULL,NULL
28,Cultural Change,Successful,0.03978359518417007,16,706,Cost Efficiency,5.19631070463128,53.009221689615146,459,0.591702513389735,9,NULL,NULL,NULL
28,Cultural Change,Successful,0.03978359518417007,16,706,Cost Efficiency,5.19631070463128,86.10472967785027,459,0.591702513389735,9,NULL,NULL,NULL
28,Cultural Change,Successful,0.03978359518417007,16,914,Change Adoption Rate,22.037409138303875,NULL,459,0.591702513389735,9,NULL,NULL,NULL
29,Cultural Change,Successful,0.5193088262633347,19,1844,Employee Engagement,67.38490436541244,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,Process Change,Successful,1.9773972202838457,11,870,Employee Engagement,64.69455099817559,94.4890001939055,994,0.6936248364205784,5,NULL,NULL,NULL
30,Process Change,Successful,1.9773972202838457,11,1883,Employee Engagement,40.35953191505984,NULL,994,0.6936248364205784,5,NULL,NULL,NULL
31,Cultural Change,Successful,1.997751940073865,11,1063,Cost Efficiency,81.14935753161905,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,Cultural Change,Successful,1.997751940073865,11,1596,Employee Engagement,19.036455019752406,78.97123639110035,NULL,NULL,NULL,NULL,NULL,NULL
31,Cultural Change,Successful,1.997751940073865,11,1596,Employee Engagement,19.036455019752406,97.8213309761128,NULL,NULL,NULL,NULL,NULL,NULL
31,Cultural Change,Successful,1.997751940073865,11,1886,Change Adoption Rate,67.71907751250794,91.30138544387545,NULL,NULL,NULL,NULL,NULL,NULL
33,Technology Change,Successful,0.6957890724048237,19,909,Employee Engagement,20.41182348471985,97.83949175076367,NULL,NULL,NULL,NULL,NULL,NULL
33,Technology Change,Successful,0.6957890724048237,19,909,Employee Engagement,20.41182348471985,66.57369648278322,NULL,NULL,NULL,NULL,NULL,NULL
33,Technology Change,Successful,0.6957890724048237,19,909,Employee Engagement,20.41182348471985,89.65814301327545,NULL,NULL,NULL,NULL,NULL,NULL
33,Technology Change,Successful,0.6957890724048237,19,909,Employee Engagement,20.41182348471985,60.20122120123291,NULL,NULL,NULL,NULL,NULL,NULL
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,405,0.5922333851773002,9,501,1,0.5467240057511774
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,405,0.5922333851773002,9,1012,5,0.749921666225912
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,405,0.5922333851773002,9,1433,3,0.1717702410546308
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,533,0.6649562508412921,9,501,1,0.5467240057511774
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,533,0.6649562508412921,9,1012,5,0.749921666225912
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,52.38264698457192,533,0.6649562508412921,9,1433,3,0.1717702410546308
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,405,0.5922333851773002,9,501,1,0.5467240057511774
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,405,0.5922333851773002,9,1012,5,0.749921666225912
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,405,0.5922333851773002,9,1433,3,0.1717702410546308
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,533,0.6649562508412921,9,501,1,0.5467240057511774
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,533,0.6649562508412921,9,1012,5,0.749921666225912
35,Process Change,Partially Successful,-0.24738234193484598,14,253,Change Adoption Rate,0.9656690785488031,59.20289067299195,533,0.6649562508412921,9,1433,3,0.1717702410546308
36,Technology Change,Successful,0.8090427649623979,1,210,Cost Efficiency,13.504961417881312,NULL,NULL,NULL,NULL,447,5,0.17164062159301152
36,Technology Change,Successful,0.8090427649623979,1,210,Cost Efficiency,13.504961417881312,NULL,NULL,NULL,NULL,934,1,0.6544586255760846
38,Process Change,Successful,0.031057297131924733,2,1355,Cost Efficiency,92.76541002445373,NULL,553,0.6258365963665694,4,520,5,0.3672813298175387
38,Process Change,Successful,0.031057297131924733,2,990,Employee Engagement,4.106782083266392,89.30880012318136,553,0.6258365963665694,4,520,5,0.3672813298175387
42,Cultural Change,Unsuccessful,-0.27785172149200993,17,8,Employee Engagement,9.156458154365566,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,76.49597556347894,NULL,NULL,NULL,348,3,0.9096318955698859
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,76.49597556347894,NULL,NULL,NULL,631,1,0.8971719880462806
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,51.69596686616257,NULL,NULL,NULL,348,3,0.9096318955698859
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,51.69596686616257,NULL,NULL,NULL,631,1,0.8971719880462806
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,99.64236255750521,NULL,NULL,NULL,348,3,0.9096318955698859
43,Technology Change,Successful,1.0324893728101896,2,1350,Change Adoption Rate,34.04841205348137,99.64236255750521,NULL,NULL,NULL,631,1,0.8971719880462806
43,Technology Change,Successful,1.0324893728101896,2,1303,Change Adoption Rate,51.27703050533244,75.3444150153267,NULL,NULL,NULL,348,3,0.9096318955698859
43,Technology Change,Successful,1.0324893728101896,2,1303,Change Adoption Rate,51.27703050533244,75.3444150153267,NULL,NULL,NULL,631,1,0.8971719880462806
44,Cultural Change,Successful,1.4693823195673552,21,1846,Cost Efficiency,70.88423127176013,81.80440494150756,1612,0.589553988257024,10,1510,1,0.6670525525664162
48,Process Change,Successful,0.3623421958766251,5,1091,Employee Engagement,97.11955360610708,62.39059328685743,NULL,NULL,NULL,1731,3,0.2439570871888378
50,Technology Change,Partially Successful,-0.37218748633779897,18,1008,Cost Efficiency,79.82727289326557,50.60667425214003,NULL,NULL,NULL,NULL,NULL,NULL
50,Technology Change,Partially Successful,-0.37218748633779897,18,1403,Cost Efficiency,1.2064202367282784,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,Technology Change,Unsuccessful,-0.06470553950443864,17,1585,Change Adoption Rate,56.54317818403489,66.2205682033129,1486,0.9158074359068574,10,509,4,0.2571831805640026
53,Technology Change,Unsuccessful,-0.06470553950443864,17,1585,Change Adoption Rate,56.54317818403489,66.2205682033129,1486,0.9158074359068574,10,862,1,0.6449674552757952
53,Technology Change,Unsuccessful,-0.06470553950443864,17,1585,Change Adoption Rate,56.54317818403489,66.2205682033129,1492,0.9008659151987413,10,509,4,0.2571831805640026
53,Technology Change,Unsuccessful,-0.06470553950443864,17,1585,Change Adoption Rate,56.54317818403489,66.2205682033129,1492,0.9008659151987413,10,862,1,0.6449674552757952
55,Cultural Change,Partially Successful,-0.22987896062610463,3,1679,Employee Engagement,61.1444914944603,89.69779938928683,73,0.7374553243748709,10,NULL,NULL,NULL
55,Cultural Change,Partially Successful,-0.22987896062610463,3,1679,Employee Engagement,61.1444914944603,89.69779938928683,1653,0.9652713041778034,2,NULL,NULL,NULL
55,Cultural Change,Partially Successful,-0.22987896062610463,3,147,Change Adoption Rate,42.30953055561702,63.39669075161359,73,0.7374553243748709,10,NULL,NULL,NULL
55,Cultural Change,Partially Successful,-0.22987896062610463,3,147,Change Adoption Rate,42.30953055561702,63.39669075161359,1653,0.9652713041778034,2,NULL,NULL,NULL
57,Technology Change,Partially Successful,0.521380538963067,17,545,Employee Engagement,70.25937110099534,83.65899991197841,NULL,NULL,NULL,444,1,0.15362750181714124
58,Cultural Change,Successful,-0.15869516012166363,19,17,Employee Engagement,0.5431497416190312,92.60928720178389,214,0.6699750018017949,5,1371,5,0.9342198632977394
60,Process Change,Unsuccessful,0.4071541150260226,12,1109,Cost Efficiency,24.976269150768825,NULL,666,0.9482853582376382,4,NULL,NULL,NULL
62,Technology Change,Successful,0.965472086583177,15,912,Cost Efficiency,79.89472915522393,NULL,672,0.5367432129356176,10,512,4,0.2785893351441282
64,Process Change,Partially Successful,-0.027450401438537775,18,1693,Change Adoption Rate,87.34422590042186,90.88709607073267,593,0.9910894007827806,2,1494,2,0.07420580019275491
64,Process Change,Partially Successful,-0.027450401438537775,18,1693,Change Adoption Rate,87.34422590042186,90.88709607073267,593,0.9910894007827806,2,1867,1,0.5426313085279522
64,Process Change,Partially Successful,-0.027450401438537775,18,1693,Change Adoption Rate,87.34422590042186,90.88709607073267,1275,0.6779716750122293,5,1494,2,0.07420580019275491
64,Process Change,Partially Successful,-0.027450401438537775,18,1693,Change Adoption Rate,87.34422590042186,90.88709607073267,1275,0.6779716750122293,5,1867,1,0.5426313085279522
65,Cultural Change,Partially Successful,1.8040492636690244,15,494,Employee Engagement,27.27005568925529,NULL,NULL,NULL,NULL,620,4,0.6376008747359837
65,Cultural Change,Partially Successful,1.8040492636690244,15,433,Change Adoption Rate,44.15487296443297,68.69312686357149,NULL,NULL,NULL,620,4,0.6376008747359837
65,Cultural Change,Partially Successful,1.8040492636690244,15,340,Employee Engagement,91.0738239808576,91.95740322007379,NULL,NULL,NULL,620,4,0.6376008747359837
67,Technology Change,Successful,1.2170387880638105,6,1981,Change Adoption Rate,82.10534737076361,NULL,1407,0.963880662404924,3,1692,3,0.7107183326212958
67,Technology Change,Successful,1.2170387880638105,6,1981,Change Adoption Rate,82.10534737076361,NULL,1775,0.6167670210564613,9,1692,3,0.7107183326212958
69,Cultural Change,Unsuccessful,1.8850204283335437,2,1167,Cost Efficiency,24.42781052346257,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,108,Change Adoption Rate,32.43448708481132,NULL,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,108,Change Adoption Rate,32.43448708481132,NULL,1031,0.5991460097718635,11,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1960,Change Adoption Rate,93.41728515621016,66.98581011071762,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1960,Change Adoption Rate,93.41728515621016,66.98581011071762,1031,0.5991460097718635,11,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1960,Change Adoption Rate,93.41728515621016,51.096083764179106,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1960,Change Adoption Rate,93.41728515621016,51.096083764179106,1031,0.5991460097718635,11,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,73.99304222368865,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,73.99304222368865,1031,0.5991460097718635,11,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,91.69899902703335,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,91.69899902703335,1031,0.5991460097718635,11,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,55.13680673969023,77,0.7119055923445592,5,NULL,NULL,NULL
72,Cultural Change,Partially Successful,1.1460247744032572,7,1127,Cost Efficiency,81.09866296715728,55.13680673969023,1031,0.5991460097718635,11,NULL,NULL,NULL
73,Cultural Change,Successful,0.03995950940993209,18,633,Employee Engagement,49.455780932351225,NULL,1584,0.8448959600928363,11,1553,4,0.671235808449961
76,Technology Change,Unsuccessful,1.1473879564273228,17,768,Change Adoption Rate,31.768939448764,NULL,637,0.7342457801086905,6,935,1,0.6691504934783763
76,Technology Change,Unsuccessful,1.1473879564273228,17,768,Change Adoption Rate,31.768939448764,NULL,637,0.7342457801086905,6,997,4,0.26412764361852314
76,Technology Change,Unsuccessful,1.1473879564273228,17,768,Change Adoption Rate,31.768939448764,NULL,637,0.7342457801086905,6,1778,5,0.6611783803619264
77,Cultural Change,Unsuccessful,-0.4203842724128233,2,1563,Change Adoption Rate,13.03868225329332,90.40955455085127,NULL,NULL,NULL,751,3,0.7988751764510286
77,Cultural Change,Unsuccessful,-0.4203842724128233,2,1563,Change Adoption Rate,13.03868225329332,88.80763345986321,NULL,NULL,NULL,751,3,0.7988751764510286
77,Cultural Change,Unsuccessful,-0.4203842724128233,2,1766,Change Adoption Rate,72.06718226133,62.417972485612836,NULL,NULL,NULL,751,3,0.7988751764510286
77,Cultural Change,Unsuccessful,-0.4203842724128233,2,349,Employee Engagement,68.73913807750912,NULL,NULL,NULL,NULL,751,3,0.7988751764510286
81,Process Change,Successful,0.4402501278732942,7,1824,Change Adoption Rate,43.22118845318188,65.19350710299345,1633,0.548901501532159,2,1328,4,0.7764533706127434
81,Process Change,Successful,0.4402501278732942,7,1824,Change Adoption Rate,43.22118845318188,90.95305854216657,1633,0.548901501532159,2,1328,4,0.7764533706127434
82,Technology Change,Partially Successful,1.5925297036068455,1,1217,Change Adoption Rate,19.42988507052952,NULL,700,0.7224634529339469,7,1880,1,0.23800781901115864
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,384,0.9689862505732559,6,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,384,0.9689862505732559,6,1923,2,0.09151728451813135
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,791,0.5125093489688581,4,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,791,0.5125093489688581,4,1923,2,0.09151728451813135
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,1679,0.897172293269599,5,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,93.14961242709909,1679,0.897172293269599,5,1923,2,0.09151728451813135
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,384,0.9689862505732559,6,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,384,0.9689862505732559,6,1923,2,0.09151728451813135
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,791,0.5125093489688581,4,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,791,0.5125093489688581,4,1923,2,0.09151728451813135
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,1679,0.897172293269599,5,655,2,0.29707087306027846
83,Process Change,Successful,-0.26425975230372695,1,591,Employee Engagement,27.120360281849976,84.69350471199895,1679,0.897172293269599,5,1923,2,0.09151728451813135
84,Technology Change,Partially Successful,-0.28993823013777964,8,683,Cost Efficiency,33.83854374877882,67.99494715237748,NULL,NULL,NULL,263,4,0.026849768507835825
84,Technology Change,Partially Successful,-0.28993823013777964,8,683,Cost Efficiency,33.83854374877882,72.631625336795,NULL,NULL,NULL,263,4,0.026849768507835825
84,Technology Change,Partially Successful,-0.28993823013777964,8,683,Cost Efficiency,33.83854374877882,96.45781680837442,NULL,NULL,NULL,263,4,0.026849768507835825
84,Technology Change,Partially Successful,-0.28993823013777964,8,153,Employee Engagement,5.379903620307824,93.80312869229233,NULL,NULL,NULL,263,4,0.026849768507835825
84,Technology Change,Partially Successful,-0.28993823013777964,8,831,Change Adoption Rate,63.042667604381755,80.2736293889492,NULL,NULL,NULL,263,4,0.026849768507835825
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,77.61050533707129,37,0.8711508041331644,8,725,5,0.4497643378119508
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,77.61050533707129,37,0.8711508041331644,8,1202,4,0.44730528398530156
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,77.61050533707129,1547,0.6700394914338655,9,725,5,0.4497643378119508
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,77.61050533707129,1547,0.6700394914338655,9,1202,4,0.44730528398530156
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,59.35731047073558,37,0.8711508041331644,8,725,5,0.4497643378119508
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,59.35731047073558,37,0.8711508041331644,8,1202,4,0.44730528398530156
89,Process Change,Successful,-0.26585311766982267,23,1639,Change Adoption Rate,81.40176489377393,59.35731047073558,1547,0.6700394914338655,9,725,5,0.4497643378119508
